"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Functionality","0","title - functionality","1","0","Delete user via UI","0"
"0","Functionality","0","title - functionality","2","0","validate the Orange HRM function","0"
"0","Functionality","0","UI User Deletion","1","0","Delete user via UI","0"
"0","Functionality","0","UI User Deletion","1","0","validate the Orange HRM function","0"
"0","User Management","0","title - functionality","1","0","Delete user via UI","0"
"0","User Management","0","title - functionality","2","0","validate the Orange HRM function","0"
"0","User Management","0","UI User Deletion","1","0","Delete user via UI","0"
"0","User Management","0","UI User Deletion","1","0","validate the Orange HRM function","0"
"0","Functionality","0","title - functionality","1","0","Create user via API","0"
"0","Functionality","0","API User Creation","1","0","Create user via API","0"
"0","Functionality","0","API User Creation","1","0","validate the Orange HRM function","0"
"0","User Management","0","title - functionality","1","0","Create user via API","0"
"0","User Management","0","API User Creation","1","0","Create user via API","0"
"0","User Management","0","API User Creation","1","0","validate the Orange HRM function","0"
